LocationID,zone,borough,centroid_lon,centroid_lat
1,Newark Airport,EWR,-74.174271,40.690244
2,Jamaica Bay,Queens,-73.817644,40.612165
3,Allerton/Pelham Gardens,Bronx,-73.84651,40.864295
4,Alphabet City,Manhattan,-73.975209,40.723853
5,Arden Heights,Staten Island,-74.189803,40.556678
6,Arrochar/Fort Wadsworth,Staten Island,-74.071747,40.601118
7,Astoria,Queens,-73.919365,40.761434
8,Astoria Park,Queens,-73.923396,40.778077
9,Auburndale,Queens,-73.790189,40.750303
10,Baisley Park,Queens,-73.790318,40.677931
11,Bath Beach,Brooklyn,-74.009023,40.602692
12,Battery Park,Manhattan,-74.015477,40.702091
13,Battery Park City,Manhattan,-74.017326,40.709419
14,Bay Ridge,Brooklyn,-74.029246,40.625196
15,Bay Terrace/Fort Totten,Queens,-73.778606,40.790995
16,Bayside,Queens,-73.767972,40.762812
17,Bedford,Brooklyn,-73.950316,40.692399
18,Bedford Park,Bronx,-73.889387,40.868877
19,Bellerose,Queens,-73.72887,40.734682
20,Belmont,Bronx,-73.885366,40.858941
21,Bensonhurst East,Brooklyn,-73.990441,40.596886
22,Bensonhurst West,Brooklyn,-73.995799,40.608806
23,Bloomfield/Emerson Hill,Staten Island,-74.190512,40.604627
24,Bloomingdale,Manhattan,-73.967739,40.802947
25,Boerum Hill,Brooklyn,-73.985929,40.686588
26,Borough Park,Brooklyn,-73.987951,40.630738
27,Breezy Point/Fort Tilden/Riis Beach,Queens,-73.89082,40.561299
28,Briarwood/Jamaica Hills,Queens,-73.806984,40.712314
29,Brighton Beach,Brooklyn,-73.960507,40.579934
30,Broad Channel,Queens,-73.822896,40.602882
31,Bronx Park,Bronx,-73.875124,40.860311
32,Bronxdale,Bronx,-73.865415,40.862116
33,Brooklyn Heights,Brooklyn,-73.995501,40.696964
34,Brooklyn Navy Yard,Brooklyn,-73.974176,40.702702
35,Brownsville,Brooklyn,-73.910329,40.663991
